file_A onset_A offset_A file_B onset_B offset_B "d(A, B)"
geo020s08a0086v01 0.555576 0.746346 geo020s08a0070v01 0.663168 0.865928 0.0936821642287
geo020s08a0087v01 0.885794 1.091383 geo020s08a0070v01 0.663168 0.865928 0.070471252687
geo020s08a0098v01 0.697107 0.906689 geo020s08a0070v01 0.663168 0.865928 0.0946437796597
geo020s08a0105v01 0.776023 1.005891 geo020s08a0070v01 0.663168 0.865928 0.109398465457
geo020s08a0107v01 0.751399 0.94525 geo020s08a0070v01 0.663168 0.865928 0.0843518997109
geo020s08a0115v01 0.95126 1.162241 geo020s08a0070v01 0.663168 0.865928 0.100552971769
geo020s08a0116v01 0.782357 0.957425 geo020s08a0070v01 0.663168 0.865928 0.0778996852166
geo020s08a0119v01 0.898461 1.140734 geo020s08a0070v01 0.663168 0.865928 0.0606763038998
geo020s08a0120v01 0.588214 0.787455 geo020s08a0070v01 0.663168 0.865928 0.108661596313
geo020s08a0128v01 0.67874 0.848858 geo020s08a0070v01 0.663168 0.865928 0.0887535250903
geo020s08a0133v01 0.795091 1.001877 geo020s08a0070v01 0.663168 0.865928 0.117632169452
geo020s08a0137v01 0.711285 0.901406 geo020s08a0070v01 0.663168 0.865928 0.0776103526274
geo020s08a0141v01 0.755768 0.961358 geo020s08a0070v01 0.663168 0.865928 0.104879747021
geo020s08a0158v01 0.90654 1.085538 geo020s08a0070v01 0.663168 0.865928 0.0895904644673
geo020s08a0192v01 0.737476 0.920889 geo020s08a0070v01 0.663168 0.865928 0.0881276462322
geo020s08a0194v01 0.658023 0.818327 geo020s08a0070v01 0.663168 0.865928 0.073825090741
geo020s08a0197v01 0.847269 1.04311 geo020s08a0070v01 0.663168 0.865928 0.0666136284031
geo020s08a0201v01 0.782428 0.980646 geo020s08a0070v01 0.663168 0.865928 0.0713114136603
geo020s08a0203v01 0.693165 0.881949 geo020s08a0070v01 0.663168 0.865928 0.0715871605426
geo020s08a0215v01 0.740317 0.927306 geo020s08a0070v01 0.663168 0.865928 0.0750383188728
geo020s08a0217v01 0.797378 0.986752 geo020s08a0070v01 0.663168 0.865928 0.111193101062
geo020s08a0219v01 0.811493 1.035365 geo020s08a0070v01 0.663168 0.865928 0.120481422854
geo020s08a0240v01 0.831724 1.02012 geo020s08a0070v01 0.663168 0.865928 0.111523675788
geo020s08a0250v01 0.640772 0.856449 geo020s08a0070v01 0.663168 0.865928 0.0813177790767
geo020s08a0008v01 0.749358 0.961481 geo020s08a0082v01 0.624177 0.806174 0.0890677401709
geo020s08a0023v01 0.656796 0.913126 geo020s08a0082v01 0.624177 0.806174 0.1142820681
geo020s08a0057v01 0.774185 0.979869 geo020s08a0082v01 0.624177 0.806174 0.109292314361
geo020s08a0059v01 0.74669 0.952843 geo020s08a0082v01 0.624177 0.806174 0.0744383580749
geo020s08a0064v01 0.646078 0.841372 geo020s08a0082v01 0.624177 0.806174 0.0670717822573
geo020s08a0068v01 0.814684 1.007574 geo020s08a0082v01 0.624177 0.806174 0.0756194777771
geo020s08a0070v01 0.663168 0.865928 geo020s08a0082v01 0.624177 0.806174 0.0734535704315
geo020s08a0084v01 0.632335 0.817321 geo020s08a0082v01 0.624177 0.806174 0.112282478499
geo020s08a0086v01 0.555576 0.746346 geo020s08a0082v01 0.624177 0.806174 0.100703828097
geo020s08a0087v01 0.885794 1.091383 geo020s08a0082v01 0.624177 0.806174 0.0902831007295
geo020s08a0098v01 0.697107 0.906689 geo020s08a0082v01 0.624177 0.806174 0.101984929294
geo020s08a0105v01 0.776023 1.005891 geo020s08a0082v01 0.624177 0.806174 0.108502125459
geo020s08a0107v01 0.751399 0.94525 geo020s08a0082v01 0.624177 0.806174 0.0938537207856
geo020s08a0115v01 0.95126 1.162241 geo020s08a0082v01 0.624177 0.806174 0.105842684887
geo020s08a0116v01 0.782357 0.957425 geo020s08a0082v01 0.624177 0.806174 0.0553551743324
geo020s08a0119v01 0.898461 1.140734 geo020s08a0082v01 0.624177 0.806174 0.090766170681
geo020s08a0120v01 0.588214 0.787455 geo020s08a0082v01 0.624177 0.806174 0.107911954471
geo020s08a0128v01 0.67874 0.848858 geo020s08a0082v01 0.624177 0.806174 0.0850398983381
geo020s08a0133v01 0.795091 1.001877 geo020s08a0082v01 0.624177 0.806174 0.12045574639
geo020s08a0137v01 0.711285 0.901406 geo020s08a0082v01 0.624177 0.806174 0.0831261148746
geo020s08a0141v01 0.755768 0.961358 geo020s08a0082v01 0.624177 0.806174 0.124486968357
geo020s08a0158v01 0.90654 1.085538 geo020s08a0082v01 0.624177 0.806174 0.0974496712767
geo020s08a0192v01 0.737476 0.920889 geo020s08a0082v01 0.624177 0.806174 0.0989532171628
geo020s08a0194v01 0.658023 0.818327 geo020s08a0082v01 0.624177 0.806174 0.0738413367497
geo020s08a0197v01 0.847269 1.04311 geo020s08a0082v01 0.624177 0.806174 0.0811756098281
geo020s08a0201v01 0.782428 0.980646 geo020s08a0082v01 0.624177 0.806174 0.0758539826505
geo020s08a0203v01 0.693165 0.881949 geo020s08a0082v01 0.624177 0.806174 0.0907044813519
geo020s08a0215v01 0.740317 0.927306 geo020s08a0082v01 0.624177 0.806174 0.0862821076738
geo020s08a0217v01 0.797378 0.986752 geo020s08a0082v01 0.624177 0.806174 0.111710805231
geo020s08a0219v01 0.811493 1.035365 geo020s08a0082v01 0.624177 0.806174 0.120338422118
geo020s08a0240v01 0.831724 1.02012 geo020s08a0082v01 0.624177 0.806174 0.12560494505
geo020s08a0250v01 0.640772 0.856449 geo020s08a0082v01 0.624177 0.806174 0.0978850310811
geo020s08a0008v01 0.749358 0.961481 geo020s08a0084v01 0.632335 0.817321 0.073037229267
geo020s08a0023v01 0.656796 0.913126 geo020s08a0084v01 0.632335 0.817321 0.11945686125
geo020s08a0057v01 0.774185 0.979869 geo020s08a0084v01 0.632335 0.817321 0.0906409149181
geo020s08a0059v01 0.74669 0.952843 geo020s08a0084v01 0.632335 0.817321 0.0945072750495
geo020s08a0064v01 0.646078 0.841372 geo020s08a0084v01 0.632335 0.817321 0.101678669638
geo020s08a0068v01 0.814684 1.007574 geo020s08a0084v01 0.632335 0.817321 0.104978183388
geo020s08a0070v01 0.663168 0.865928 geo020s08a0084v01 0.632335 0.817321 0.106060827505
geo020s08a0082v01 0.624177 0.806174 geo020s08a0084v01 0.632335 0.817321 0.112282478499
geo020s08a0086v01 0.555576 0.746346 geo020s08a0084v01 0.632335 0.817321 0.0602720250814
geo020s08a0087v01 0.885794 1.091383 geo020s08a0084v01 0.632335 0.817321 0.100922112263
geo020s08a0098v01 0.697107 0.906689 geo020s08a0084v01 0.632335 0.817321 0.122865488409
geo020s08a0105v01 0.776023 1.005891 geo020s08a0084v01 0.632335 0.817321 0.0603394489263
geo020s08a0107v01 0.751399 0.94525 geo020s08a0084v01 0.632335 0.817321 0.0772545493664
geo020s08a0115v01 0.95126 1.162241 geo020s08a0084v01 0.632335 0.817321 0.0885495513265
geo020s08a0116v01 0.782357 0.957425 geo020s08a0084v01 0.632335 0.817321 0.123696418712
geo020s08a0119v01 0.898461 1.140734 geo020s08a0084v01 0.632335 0.817321 0.10584453293
geo020s08a0120v01 0.588214 0.787455 geo020s08a0084v01 0.632335 0.817321 0.0589909718107
geo020s08a0128v01 0.67874 0.848858 geo020s08a0084v01 0.632335 0.817321 0.120907354513
geo020s08a0133v01 0.795091 1.001877 geo020s08a0084v01 0.632335 0.817321 0.108775471246
geo020s08a0137v01 0.711285 0.901406 geo020s08a0084v01 0.632335 0.817321 0.116826382872
geo020s08a0141v01 0.755768 0.961358 geo020s08a0084v01 0.632335 0.817321 0.0740949810714
geo020s08a0158v01 0.90654 1.085538 geo020s08a0084v01 0.632335 0.817321 0.111001192718
geo020s08a0192v01 0.737476 0.920889 geo020s08a0084v01 0.632335 0.817321 0.0949118467835
geo020s08a0194v01 0.658023 0.818327 geo020s08a0084v01 0.632335 0.817321 0.106057632181
