file_A;onset_A;offset_A;#item_A;phone_A;new_A;file_B;onset_B;offset_B;#item_B;phone_B;speaker;question_B;new;dist
geo020s08a0215v01;0.784613;0.913613;#240;p>a;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.0748441955846
geo020s08a0217v01;0.847427;0.976427;#244;pa;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.122449780241
geo020s08a0219v01;0.881031;1.010031;#245;pa;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.138899874023
geo020s08a0240v01;0.886368;1.015368;#273;pa;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.118398656463
geo020s08a0250v01;0.700244;0.829244;#288;pa;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.109541137534
geo020s08a0008v01;0.809288;0.938288;#6;pa;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.121940494715
geo020s08a0023v01;0.756105;0.885105;#23;p>a;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.124712106439
geo020s08a0057v01;0.810292;0.939292;#52;p>a;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.139151622949
geo020s08a0059v01;0.809141;0.938141;#53;p>a;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.0737857952034
geo020s08a0064v01;0.70452;0.83352;#61;p>a;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.0830661945643
geo020s08a0070v01;0.723302;0.852302;#69;p>a;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.0724207430057
geo020s08a0082v01;0.672542;0.801542;#84;p>a;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.0846146741785
geo020s08a0084v01;0.680439;0.809439;#87;pa;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.130427604283
