 file_A onset_A offset_A file_B onset_B offset_B "d(A, B)"
15 geo020s09a0126v01 1.199311 1.266671 geo020s09a0105v01 1.321692 1.404988 0.121524658745
16 geo020s09a0240v01 1.712697 1.784068 geo020s09a0105v01 1.321692 1.404988 0.0676813305709
17 geo020s09a0242v01 1.184629 1.273188 geo020s09a0105v01 1.321692 1.404988 0.0712158816858
18 geo020s09a0084v01 1.134292 1.205841 geo020s09a0107v01 1.130221 1.203975 0.06338890114
19 geo020s09a0086v01 0.943701 1.004696 geo020s09a0107v01 1.130221 1.203975 0.0662213868741
20 geo020s09a0105v01 1.321692 1.404988 geo020s09a0107v01 1.130221 1.203975 0.0802362876462
21 geo020s09a0126v01 1.199311 1.266671 geo020s09a0107v01 1.130221 1.203975 0.102246508017
22 geo020s09a0240v01 1.712697 1.784068 geo020s09a0107v01 1.130221 1.203975 0.0827497279955
23 geo020s09a0242v01 1.184629 1.273188 geo020s09a0107v01 1.130221 1.203975 0.0616904402953
24 geo020s09a0084v01 1.134292 1.205841 geo020s09a0126v01 1.199311 1.266671 0.110804389099
25 geo020s09a0086v01 0.943701 1.004696 geo020s09a0126v01 1.199311 1.266671 0.119722766808
26 geo020s09a0105v01 1.321692 1.404988 geo020s09a0126v01 1.199311 1.266671 0.121524658745
27 geo020s09a0107v01 1.130221 1.203975 geo020s09a0126v01 1.199311 1.266671 0.102246508017
28 geo020s09a0240v01 1.712697 1.784068 geo020s09a0126v01 1.199311 1.266671 0.13664872214
29 geo020s09a0242v01 1.184629 1.273188 geo020s09a0126v01 1.199311 1.266671 0.110400086826
30 geo020s09a0084v01 1.134292 1.205841 geo020s09a0240v01 1.712697 1.784068 0.0858002861097
31 geo020s09a0086v01 0.943701 1.004696 geo020s09a0240v01 1.712697 1.784068 0.078826530755
32 geo020s09a0105v01 1.321692 1.404988 geo020s09a0240v01 1.712697 1.784068 0.0676813305709
33 geo020s09a0107v01 1.130221 1.203975 geo020s09a0240v01 1.712697 1.784068 0.0827497279955
34 geo020s09a0126v01 1.199311 1.266671 geo020s09a0240v01 1.712697 1.784068 0.13664872214
35 geo020s09a0242v01 1.184629 1.273188 geo020s09a0240v01 1.712697 1.784068 0.0735167143077
36 geo020s09a0084v01 1.134292 1.205841 geo020s09a0242v01 1.184629 1.273188 0.0615504710822
37 geo020s09a0086v01 0.943701 1.004696 geo020s09a0242v01 1.184629 1.273188 0.05694892421
38 geo020s09a0105v01 1.321692 1.404988 geo020s09a0242v01 1.184629 1.273188 0.0712158816858
39 geo020s09a0107v01 1.130221 1.203975 geo020s09a0242v01 1.184629 1.273188 0.0616904402953
40 geo020s09a0126v01 1.199311 1.266671 geo020s09a0242v01 1.184629 1.273188 0.110400086826
41 geo020s09a0240v01 1.712697 1.784068 geo020s09a0242v01 1.184629 1.273188 0.0735167143077
0 geo020s08a0087v01 1.306648 1.376146 geo020s08a0081v01 0.926044 0.984595 0.0658767298681
1 geo020s08a0118v01 1.077017 1.140616 geo020s08a0081v01 0.926044 0.984595 0.075319198694
2 geo020s08a0120v01 0.988689 1.03044 geo020s08a0081v01 0.926044 0.984595 0.143509382418
3 geo020s08a0216v01 0.746981 0.79737 geo020s08a0081v01 0.926044 0.984595 0.0930794113665
